B02001_001E,B02001_002E,state,county,tract,block group
2425,2204,04,013,061010,2
1032,1019,04,019,004120,1
3952,3217,04,019,004065,1
6408,5239,04,019,004062,1
2210,1567,04,019,004073,2
1192,942,04,021,001709,1
1822,1382,04,021,001706,1
1922,1383,04,013,071913,2
266,254,04,013,071912,2
707,707,04,013,071702,4
740,724,04,013,071702,1
1586,1266,04,013,071517,3
1526,1046,04,019,004610,2
665,379,04,019,003600,5
0,0,04,019,003600,2
1170,832,04,019,001801,6
979,696,04,019,001801,3
1725,1622,04,013,817000,1
2582,2124,04,013,816800,2
1788,1454,04,013,216837,3
1182,1168,04,013,610600,4
222,222,04,013,610600,1
1503,873,04,013,107400,4
56,4,04,013,941100,1
1977,1845,04,013,104900,3
1305,1164,04,013,104202,1
1638,1208,04,013,104219,1
1671,1493,04,013,104224,2
2360,2142,04,013,092305,1
2105,654,04,013,116100,1
1025,962,04,013,319403,2
3151,2335,04,013,071911,1
2043,1286,04,013,082002,3
2866,1925,04,013,082009,1
1799,1562,04,013,420302,2
1229,1037,04,013,217700,3
1643,1272,04,013,105400,2
1328,1309,04,013,105400,1
4183,3137,04,013,106900,4
1427,766,04,013,107201,2
2558,2461,04,013,105300,2
2988,2494,04,019,004636,2
1479,1357,04,019,004617,1
1931,1572,04,013,422615,1
1209,1130,04,019,004713,1
1271,1157,04,019,004721,1
1458,1381,04,019,004722,1
2182,1536,04,019,004505,3
1222,889,04,019,004505,1
2095,2042,04,019,004621,1
1632,1451,04,013,422617,1
1227,1106,04,013,523003,3
469,341,04,013,422307,2
1915,1707,04,013,422502,1
1928,1688,04,013,422503,3
760,745,04,013,071511,2
1072,870,04,013,071909,2
1468,1277,04,013,103606,1
1949,1607,04,013,104502,2
898,879,04,013,104802,1
1860,1798,04,013,104802,3
1724,1570,04,013,106200,2
2042,1415,04,013,109400,4
2500,1024,04,013,109400,2
1006,862,04,013,071801,3
1662,1355,04,013,104100,2
1901,1788,04,013,106600,2
825,825,04,013,107800,1
1740,1083,04,013,116709,1
1429,1157,04,013,614500,2
537,489,04,013,617800,1
1742,1185,04,013,617700,1
